Log#,Incident Date & Time,District of Occurrence,COPA Notification Date,Transparency Release Date,Closed Date,FSR/Memo Posted Date,case_url,pdf_available,pdf_url
2022-0004216,09/30/2022 10:15 pm,14,10/01/2022,,10/30/2023,01/04/2024,https://www.chicagocopa.org/case/2022-0004216/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2022-0004216_FSR.pdf
2020-0000856,02/04/2020 7:30 pm,01,02/20/2020,,10/31/2023,01/04/2024,https://www.chicagocopa.org/case/2020-0000856/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2020-0000856_FSR.pdf
2023-0001864,04/30/2023 5:08 pm,14,05/01/2023,,10/31/2023,01/04/2024,https://www.chicagocopa.org/case/2023-0001864/,Available,https://www.chicagocopa.org/wp-content/uploads/2024/01/2023-0001864_FSR.pdf
2023-0002319,05/29/2023 11:20 pm,15,05/30/2023,,10/24/2013,12/28/2023,https://www.chicagocopa.org/case/2023-0002319/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2023-0002319_FSR.pdf
2022-0004718,11/03/2022 6:17 pm,10,11/03/2022,,10/24/2023,12/28/2023,https://www.chicagocopa.org/case/2022-0004718/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2022-0004718_FSR.pdf
2022-0001941,05/12/2022 10:02 pm,12,05/13/2022,,09/22/2023,12/21/2023,https://www.chicagocopa.org/case/2022-0001941/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2022-0001941_FSR.pdf
2022-0003977,09/16/2022 12:00 am,01,09/16/2022,,09/29/2023,12/21/2023,https://www.chicagocopa.org/case/2022-0003977/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2022-0003977_FSR.pdf
2021-0001551,04/26/2021 8:20 pm,06,04/26/2021,,10/17/2023,12/21/2023,https://www.chicagocopa.org/case/2021-0001551/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2021-0001551_FSR.pdf
2021-0003680,09/15/2021 2:57 pm,05,09/17/2021,,10/17/2023,12/21/2023,https://www.chicagocopa.org/case/2021-0003680/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2021-0003680_FSR.pdf
2022-0001434,02/26/2022 5:04 pm,02,04/07/2022,,08/31/2023,12/21/2023,https://www.chicagocopa.org/case/2022-0001434/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2022-0001434_FSR.pdf
2019-0004455,11/01/2019 7:30 pm,11,11/01/2019,,09/21/2023,12/07/2023,https://www.chicagocopa.org/case/2019-0004455/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2019-0004455_FSR.pdf
2023-0003651,08/08/2023 6:00 am,08,08/14/2023,,09/22/2023,12/07/2023,https://www.chicagocopa.org/case/2023-0003651/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2023-0003651_FSR.pdf
2020-0003820,05/30/2020 7:36 pm,18,08/14/2020,,03/31/2023,12/07/2023,https://www.chicagocopa.org/case/2020-0003820/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2020-0003820_FSR-1.pdf
2019-0002422,06/30/2019 12:00 pm,04,06/30/2019,,09/29/2023,12/07/2023,https://www.chicagocopa.org/case/2019-0002422/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2019-0002422_FSR.pdf
2022-0001794,04/29/2022 5:28 pm,11,05/02/2022,,09/22/2023,12/07/2023,https://www.chicagocopa.org/case/2022-0001794/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/12/2022-0001794_FSR.pdf
2019-1092289,01/09/2019 6:00 pm,19,01/09/2019,,12/02/2022,11/30/2023,https://www.chicagocopa.org/case/2019-1092289/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-1092289_FSR.pdf
2022-0000289,01/25/2023 3:53 pm,10.0,01/26/2022,,08/08/2023,11/30/2023,https://www.chicagocopa.org/case/2022-0000289/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0000289_FSR.pdf
2021-0002761,07/17/2021 6:30 pm,5.0,07/18/2021,,04/19/2023,11/30/2023,https://www.chicagocopa.org/case/2021-0002761/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0002761_FSR.pdf
2019-0004259,10/18/2019 3:00 pm,22.0,10/21/2019,,09/22/2023,11/30/2023,https://www.chicagocopa.org/case/2019-0004259/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-0004259_FSR.pdf
2021-0001002,03/19/2021 9:19 pm,4.0,03/20/2021,,09/29/2023,11/30/2023,https://www.chicagocopa.org/case/2021-0001002/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0001002_FSR.pdf
2020-0003550,07/13/2020 5:00 pm,522.0,07/13/2020,,09/29/2023,11/30/2023,https://www.chicagocopa.org/case/2020-0003550/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2020-0003550_FSR-1.pdf
2018-1091882,10/30/2018 4:30 pm,22.0,12/04/2018,,10/31/2022,11/30/2023,https://www.chicagocopa.org/case/2018-1091882/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2018-1091882_FSR.pdf
2021-0003934,10/03/2021 3:14 pm,10.0,10/03/2021,,04/11/2023,11/24/2023,https://www.chicagocopa.org/case/2021-0003934/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0003934_FSR.pdf
2021-0001479,04/20/2021 6:20 pm,18.0,04/20/2021,,05/30/2023,11/23/2023,https://www.chicagocopa.org/case/2021-0001479/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0001479_FSR.pdf
2022-0004996,11/22/2022 8:04 pm,8.0,11/22/2022,,06/29/2023,11/24/2023,https://www.chicagocopa.org/case/2022-0004996/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0004996_FSR.pdf
2022-0000354,01/29/2022 1:25 pm,5.0,01/31/2022,,06/28/2023,11/24/2023,https://www.chicagocopa.org/case/2022-0000354/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0000354_FSR.pdf
2022-0000883,03/13/2022 3:31 pm,5.0,03/13/2022,,08/31/2023,11/24/2023,https://www.chicagocopa.org/case/2022-0000883/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0000883_FSR.pdf
2019-0003365,08/22/2019 12:10 am,6.0,08/22/2019,,07/25/2023,11/24/2023,https://www.chicagocopa.org/case/2019-0003365/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-0003365_FSR.pdf
2019-0002631,04/05/2019 7:15 pm,6.0,07/12/2019,,07/17/2023,11/24/2023,https://www.chicagocopa.org/case/2019-0002631/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-0002631_FSR.pdf
2019-0004789,11/23/2019 10:04 am,11.0,11/24/2019,,06/28/2021,11/16/2023,https://www.chicagocopa.org/case/2019-0004789/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-0004789_FSR.pdf
2017-1087910,11/28/2017 3:00 pm,22.0,12/21/2017,,08/31/2022,11/16/2023,https://www.chicagocopa.org/case/2017-1087910/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2017-1087910_FSR.pdf
2017-1091813,11/19/2018 12:00 am,24.0,11/26/2018,,09/30/2022,11/16/2023,https://www.chicagocopa.org/case/2017-1091813/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2017-1091813_FSR.pdf
2020-0002843,05/31/2020 10:28 am,8.0,06/22/2020,,07/28/2021,11/16/2023,https://www.chicagocopa.org/case/2020-0002843/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2020-0002843_FSR.pdf
2018-1091807,11/24/2018 4:00 pm,22.0,11/26/2018,,12/29/2022,11/16/2023,https://www.chicagocopa.org/case/2018-1091807/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2018-1091807_FSR-1.pdf
2021-0000310,01/24/2021 1:36 pm,1.0,01/24/2021,,12/29/2022,11/16/2023,https://www.chicagocopa.org/case/2021-0000310/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0000310_FSR.pdf
2019-0002081,11/08/2018 12:00 am,11.0,06/10/2019,,09/11/2023,11/16/2023,https://www.chicagocopa.org/case/2019-0002081/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2019-0002081_FSR.pdf
2022-0003777,09/03/2022 2:24 pm,16.0,09/03/2022,,08/30/2023,11/16/2023,https://www.chicagocopa.org/case/2022-0003777/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0003777_FSR.pdf
2018-1088116,01/11/2018 8:50 pm,25.0,01/12/2018,,06/22/2022,11/09/2023,https://www.chicagocopa.org/case/2018-1088116/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/1088116-FSR-redacted.pdf
2018-1092034,10/12/2018 11:00 pm,2.0,12/18/2018,,08/31/2022,11/09/2023,https://www.chicagocopa.org/case/2018-1092034/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/1092034-FSR-Redacted.pdf
2021-0002452,05/29/2020 12:14 am,1.0,06/23/2021,,11/30/2022,11/09/2023,https://www.chicagocopa.org/case/2021-0002452/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-2452-FSR-Redacted.pdf
2018-1089063,05/20/2016 12:51 am,,04/11/2018,,07/12/2022,11/02/2023,https://www.chicagocopa.org/case/2018-1089063/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2018-1089063_FSR.pdf
2023-0002341,05/30/2023 7:30 pm,14.0,05/30/2023,,08/31/2023,11/02/2023,https://www.chicagocopa.org/case/2023-0002341/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2023-0002341_FSR.pdf
2023-0000477,01/31/2023 8:07 pm,11.0,02/02/2023,,08/31/2023,11/02/2023,https://www.chicagocopa.org/case/2023-0000477/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2023-0000477_FSR.pdf
2022-0000779,02/26/2022 7:04 pm,8.0,03/05/2022,,08/31/2023,11/02/2023,https://www.chicagocopa.org/case/2022-0000779/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2022-0000779_FSR.pdf
2021-0002059,05/29/2021 4:34 am,16.0,05/29/2021,,08/31/2023,11/02/2023,https://www.chicagocopa.org/case/2021-0002059/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2021-0002059_FSR.pdf
2020-0000198,01/09/2020 10:00 pm,16.0,01/13/2020,,08/31/2023,11/02/2023,https://www.chicagocopa.org/case/2020-0000198/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/11/2020-0000198_FSR.pdf
2020-0001353,03/15/2020 1:00 am,Other,03/23/2020,,05/30/2023,10/26/2023,https://www.chicagocopa.org/case/2020-0001353/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0001353_FSR.pdf
2017-1087035,10/06/2017 9:40 am,07,10/06/2017,,07/28/2022,10/26/2023,https://www.chicagocopa.org/case/2017-1087035/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2017-1087035_FSR.pdf
2019-1092415,01/19/2019 7:30 pm,04,01/23/2019,,12/28/2022,10/26/2023,https://www.chicagocopa.org/case/2019-1092415/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-1092415_FSR.pdf
2019-0005198,12/22/2019 12:00 pm,10,12/23/2019,,05/09/2023,10/26/2023,https://www.chicagocopa.org/case/2019-0005198/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0005198_FSR.pdf
2020-0001524,04/09/2020 6:00 pm,16,04/10/2020,,05/12/2023,10/26/2023,https://www.chicagocopa.org/case/2020-0001524/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0001524_FSR.pdf
2021-0004143,10/19/2021 4:00 pm,08,10/20/2021,,05/30/2023,10/26/2023,https://www.chicagocopa.org/case/2021-0004143/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0004143_FSR.pdf
2022-0000401,01/28/2022 12:40 pm,18,02/03/2022,,05/31/2023,10/26/2023,https://www.chicagocopa.org/case/2022-0000401/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0000401_FSR.pdf
2021-0004491,11/09/2021 12:17 am,07,11/10/2021,,05/31/2023,10/26/2023,https://www.chicagocopa.org/case/2021-0004491/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0004491_FSR.pdf
2021-0001309,04/07/2021 1:26 pm,10,04/07/2021,,05/31/2023,10/26/2023,https://www.chicagocopa.org/case/2021-0001309/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0001309_FSR.pdf
2018-1089455,05/10/2018 2:00 pm,12,05/14/2018,,10/24/2022,10/19/2023,https://www.chicagocopa.org/case/2018-1089455/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2018-1089455_FSR.pdf
2020-0005370,11/27/2020 9:42 pm,08,12/01/2020,,11/30/2022,10/19/2023,https://www.chicagocopa.org/case/2020-0005370/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0005370_FSR.pdf
2019-0000102,02/18/2019 2:21 am,07,02/25/2019,,01/10/2023,10/19/2023,https://www.chicagocopa.org/case/2019-0000102/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0000102_FSR.pdf
2021-0002637,07/19/2020 3:50 pm,02,07/07/2021,,01/26/2023,10/19/2023,https://www.chicagocopa.org/case/2021-0002637/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0002637_FSR.pdf
2019-0001681,04/25/2018 12:50 am,0307,05/16/2019,,12/28/2021,10/19/2023,https://www.chicagocopa.org/case/2019-0001681/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0001681_FSR.pdf
2019-0000665,03/09/2019 3:25 am,05,04/04/2019,,02/24/2023,10/19/2023,https://www.chicagocopa.org/case/2019-0000665/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0000665_FSR.pdf
2023-0000368,01/26/2023 10:30 pm,25,01/27/2023,,03/31/2023,10/19/2023,https://www.chicagocopa.org/case/2023-0000368/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2023-0000368_FSR.pdf
2019-0004456,11/01/2019 9:08 pm,11,11/02/2019,,05/30/2023,10/19/2023,https://www.chicagocopa.org/case/2019-0004456/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0004456_FSR.pdf
2021-0002591,07/04/2021 3:06 am,07,07/04/2021,,04/27/2023,10/19/2023,https://www.chicagocopa.org/case/2021-0002591/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0002591_FSR.pdf
2022-0000056,12/28/2021 6:48 pm,18,01/06/2022,,05/31/2023,10/12/2023,https://www.chicagocopa.org/case/2022-0000056/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0000056_FSR.pdf
2019-0001864,05/28/2019 6:39 pm,11,05/28/2019,,05/31/2023,10/12/2023,https://www.chicagocopa.org/case/2019-0001864/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0001864_FSR.pdf
2018-1090065,06/29/2018 5:02 pm,05,06/29/2018,,08/22/2022,10/12/2023,https://www.chicagocopa.org/case/2018-1090065/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2018-1090065_FSR.pdf
2022-0005287,12/13/2022 6:08 pm,11,12/13/2022,,07/31/2023,10/05/2023,https://www.chicagocopa.org/case/2022-0005287/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0005287_FSR.pdf
2020-0005556,12/14/2020 5:15 am,06,12/14/2020,,07/31/2023,10/05/2023,https://www.chicagocopa.org/case/2020-0005556/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0005556_FSR.pdf
2019-0002964,07/31/2019 9:30 pm,07,07/31/2019,,07/31/2023,10/05/2023,https://www.chicagocopa.org/case/2019-0002964/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0002964_FSR.pdf
2022-0000603,02/20/2022 10:25 am,05,02/21/2022,,06/30/2023,10/05/2023,https://www.chicagocopa.org/case/2022-0000603/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0000603_FSR.pdf
2019-0002411,06/28/2019 4:30 pm,11,06/29/2019,,05/04/2023,10/05/2023,https://www.chicagocopa.org/case/2019-0002411/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0002411_FSR.pdf
2022-0005379,10/18/2022 12:00 am,06,10/18/2022,,05/31/2023,10/05/2023,https://www.chicagocopa.org/case/2022-0005379/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0005379_FSR.pdf
2019-0002973,07/31/2019 11:00 pm,06,08/01/2019,,03/31/2023,10/05/2023,https://www.chicagocopa.org/case/2019-0002973/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-0002973_FSR.pdf
2020-0002866,06/23/2020 7:30 pm,06,06/24/2020,,11/29/2022,10/05/2023,https://www.chicagocopa.org/case/2020-0002866/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0002866-FSR.pdf
2022-0003082,07/24/2022 4:20 pm,05,07/23/2022,,05/30/2023,10/05/2023,https://www.chicagocopa.org/case/2022-0003082/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2022-0003082_FSR.pdf
2019-1092533,01/29/2019 12:32 pm,Other,01/30/2019,,11/29/2022,10/05/2023,https://www.chicagocopa.org/case/2019-1092533/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2019-1092533_FSR.pdf
2021-0005079,12/25/2021 1:00 am,12,12/28/2021,,05/31/2023,10/05/2023,https://www.chicagocopa.org/case/2021-0005079/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2021-0005079_FSR.pdf
2020-0000671,02/08/2020 9:46 pm,11,02/26/2020,,03/31/2023,10/05/2023,https://www.chicagocopa.org/case/2020-0000671/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/10/2020-0000671_FSR.pdf
2019-0003821,09/21/2019 4:38 pm,11,09/23/2019,,02/28/2022,09/28/2023,https://www.chicagocopa.org/case/2019-0003821/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0003821_FSR.pdf
2018-1091276,10/02/2018 8:30 pm,07,10/04/2018,,02/28/2022,09/28/2023,https://www.chicagocopa.org/case/2018-1091276/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091276_FSR.pdf
2018-1090310,07/13/2018 4:42 pm,07,07/19/2018,,12/21/2022,09/28/2023,https://www.chicagocopa.org/case/2018-1090310/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1090310_FSR.pdf
2018-1091532,12/09/2017 2:46 pm,07,10/26/2018,,08/31/2022,09/28/2023,https://www.chicagocopa.org/case/2018-1091532/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091532_FSR.pdf
2019-0000400,03/09/2019 7:20 pm,14,03/13/2019,,06/16/2023,09/28/2023,https://www.chicagocopa.org/case/2019-0000400/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0000400_FSR.pdf
2019-0005000,12/05/2019 10:50 am,22,12/09/2019,,10/27/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0005000/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0005000_FSR.pdf
2019-0004408,04/20/2019 12:00 am,02,10/30/2019,,10/30/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0004408/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0004408_FSR.pdf
2019-0002912,07/25/2019 1:55 am,10,07/31/2019,,08/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0002912/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2019-0002629,09/04/2018 12:42 am,03,07/16/2019,,08/14/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0002629/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0002629_FSR.pdf
2019-0003856,07/28/2017 4:45 pm,1924,09/25/2019,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0003856/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0003856-FSR.pdf
2019-0001918,01/22/2019 12:00 am,11,05/31/2019,,07/29/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0001918/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0001918_FSR.pdf
2019-0001774,04/21/2019 1:21 pm,08,05/22/2019,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0001774/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0001774_FSR.pdf
2019-0000723,04/06/2019 5:30 pm,11,04/12/2019,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-0000723/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-000723_FSR.pdf
2019-1092491,01/25/2019 4:15 pm,06,01/28/2019,,07/28/2020,09/28/2023,https://www.chicagocopa.org/case/2019-1092491/,Available,https://www.chicagocopa.org/investigations/how-to-read-a-case-summary-report/
2019-1092419,01/20/2019 9:00 pm,11,01/22/2019,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2019-1092419/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-1092419_FSR.pdf
2018-1091843,11/25/2018 6:50 pm,01,11/28/2018,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2018-1091843/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091843_FSR.pdf
2018-1091418,10/13/2018 8:45 am,03,10/17/2018,,07/31/2020,09/28/2023,https://www.chicagocopa.org/case/2018-1091418/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091418-FSR.pdf
2021-0002079,05/31/2021 2:25 pm,14,05/31/2021,,07/17/2023,09/28/2023,https://www.chicagocopa.org/case/2021-0002079/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2021-0002079_FSR.pdf
2019-0000910,04/13/2019 1:45 pm,07,04/22/2019,,06/29/2023,09/28/2023,https://www.chicagocopa.org/case/2019-0000910/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0000910_FSR.pdf
2021-0000803,03/04/2021 11:25 pm,15,03/05/2021,,06/29/2023,09/28/2023,https://www.chicagocopa.org/case/2021-0000803/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2021-0000803_FSR.pdf
2022-0000737,02/28/2022 3:12 pm,06,03/02/2022,,06/16/2023,09/28/2023,https://www.chicagocopa.org/case/2022-0000737/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2022-0000737_FSR.pdf
2018-1091477,10/16/2018 8:40 am,08,10/22/2018,,06/30/2022,09/28/2023,https://www.chicagocopa.org/case/2018-1091477/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091477_FSR.pdf
2020-0000430,01/24/2020 2:20 pm,24,02/06/2020,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2020-0000430/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2020-0000430_FSR.pdf
2019-0004145,10/13/2019 8:00 pm,08,10/15/2019,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0004145/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0004145_FSR.pdf
2019-0003636,09/01/2019 12:05 am,06,09/09/2019,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0003636/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0003636_FSR.pdf
2019-0002567,06/14/2019 12:15 pm,03,07/09/2019,,06/29/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0002567/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0002567_FSR.pdf
2019-0001874,05/29/2019 11:30 am,25,05/30/2019,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0001874/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0001874_FSR.pdf
2019-0001057,04/26/2019 1:47 pm,11,05/01/2019,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0001057/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0001057_FSR.pdf
2019-0000512,03/22/2019 1:00 am,24,03/22/2019,,06/29/2020,09/21/2023,https://www.chicagocopa.org/case/2019-0000512/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2019-0000512_FSR.pdf
2018-1091373,10/08/2018 5:15 pm,25,10/15/2018,,06/25/2020,09/21/2023,https://www.chicagocopa.org/case/2018-1091373/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1091373_FSR.pdf
2018-1089300,04/30/2018 10:59 pm,05,05/01/2018,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2018-1089300/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1089300_FSR.pdf
2018-1088892,03/23/2018 11:57 am,11,03/26/2018,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2018-1088892/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1088892_FSR.pdf
2018-1088505,10/23/2016 2:40 am,06,02/21/2018,,06/30/2020,09/21/2023,https://www.chicagocopa.org/case/2018-1088505/,Available,https://www.chicagocopa.org/wp-content/uploads/2023/09/2018-1088505_FSR.pdf
